epoch,train_loss,NDCG@5,Recall@5,NDCG@10,Recall@10,NDCG@20,Recall@20,NDCG@50,Recall@50
1,5.845751438707153,0.0033226621863368445,0.00547783583347379,0.0044431680647717565,0.008961177594246868,0.006226672920033103,0.016040226979043767,0.010047672120882105,0.03556379571886061
2,5.792507478582714,0.002954815302978767,0.0049160065172200685,0.0041050616898270584,0.00851171414124389,0.005825781434131702,0.015394123265351986,0.009657798841667524,0.0349738749367942
3,5.786849888712771,0.0023910363690344194,0.004157536940277544,0.0035899805281867747,0.007921793359177481,0.005214946546713464,0.014382830496095286,0.00878884694315002,0.03267037474015394
4,5.782780146630992,0.0025984590599882874,0.004578908927467836,0.0036500910428919355,0.007921793359177481,0.00526843691599541,0.014410921961907972,0.008840595643868443,0.03258610034271588
5,5.779040112669168,0.0021216197309976786,0.0037923478847126245,0.003680075310124537,0.008652171470307321,0.005544037118480461,0.01609640991066914,0.009049221814894601,0.03404685656497556
6,5.77450546336721,0.00240954315437447,0.004241811337715602,0.0035880101037845226,0.007921793359177481,0.005315410173522578,0.014804202483285577,0.008810780974931296,0.03258610034271588
7,5.772119289789444,0.002108820282988912,0.0036237990898365076,0.0034325986376374604,0.007725153098488679,0.005029320657200381,0.014130007303781111,0.008738453104454298,0.033063655261531544
8,5.769874268376071,0.002680620049488456,0.004550817461655149,0.003958652134501726,0.008567897072869262,0.005679521995549952,0.015450306196977358,0.009452975430737753,0.03474914321029271
9,5.767225143880497,0.002803425497151374,0.004747457722343952,0.004173737976613513,0.009045451991684926,0.006174120699832432,0.017079611214113152,0.009830961846914637,0.03581661891117478
10,5.765853312334069,0.00295772913288562,0.004775549188156638,0.0040594724251116045,0.008258890948929716,0.0057079585433609335,0.014804202483285577,0.009283598356231474,0.03309174672734423
11,5.764195406163431,0.0028522661361668595,0.004607000393280521,0.003952104369327251,0.008090342154053598,0.005753963093334404,0.015309848867913927,0.009342636273939102,0.033653576043597956
12,5.762773150857161,0.002593000436838665,0.004410360132591718,0.0037796072761205357,0.00814652508567897,0.005545168843637897,0.015225574470475869,0.009335002814501602,0.03449632001797854
13,5.761627739740287,0.002448627942947534,0.0043260857351536605,0.0036778052716663436,0.008202708017304343,0.005413181742370292,0.01508511714141244,0.009317407664770854,0.035086240800044945
14,5.7599864417885644,0.002412801316850569,0.004129445474464858,0.003688565186079119,0.008118433619866285,0.005671231181947551,0.016068318444856452,0.009217677455711747,0.034159222428226305
15,5.759172991702431,0.002955096549994256,0.005112646777908871,0.004232243104627317,0.009101634923310299,0.00597868508698328,0.01609640991066914,0.009719989451761848,0.03522669812910838
16,5.757993978044765,0.0028127070542966447,0.004775549188156638,0.0043502754200198165,0.009579189842125963,0.006068948067885183,0.016489690432046743,0.009672313307670505,0.03488960053935614
