epoch,train_loss,NDCG@5,Recall@5,NDCG@10,Recall@10,NDCG@20,Recall@20,NDCG@50,Recall@50
10,1.8004293271243652,0.012800739077525419,0.020478678577448173,0.017371522219201203,0.03472105174448003,0.02287433841265771,0.05666048654418788,0.031169616202349152,0.09857295353671555
20,1.769667965358729,0.014490311099523546,0.02286645317152649,0.019473991953829404,0.03845721669756728,0.024972675480942518,0.06036856003146244,0.03326917790429008,0.10236530142142818
30,1.748215619047322,0.01501528212355174,0.02373728861171976,0.019778541493417803,0.03859767402663071,0.025507243996964583,0.061520310129782575,0.03442810153685334,0.10669138715658183
40,1.7315820199757934,0.015590242232513672,0.023933928872408562,0.02088840540287035,0.04047980223608068,0.02691394287575523,0.06441373110848925,0.03626151379983967,0.11171975953705264
50,1.71857080559338,0.01670266373724459,0.026293612000674194,0.021935469409756464,0.042586662172032136,0.028040244684808282,0.06691387156581831,0.037341258068150036,0.11407944266531828
60,1.7038481735829238,0.0175596998812246,0.027670093825495814,0.022948485604937303,0.044412607449856735,0.029200663975724957,0.069357829091522,0.03854869997771069,0.11669194898589809
70,1.693204181075257,0.01655869514419921,0.026490252261363,0.022133573391537053,0.04385077813360301,0.028366506128131436,0.06876790830945559,0.037791403692665,0.11629866846452049
80,1.684029859569874,0.017724177008957776,0.02806337434687342,0.023219356972954405,0.04522725995842463,0.029544130942208445,0.07039721332659138,0.03871609764870439,0.1168604977807742
90,1.6754693127515023,0.01682345657345361,0.026434069329737627,0.022083661742958203,0.04292375976178437,0.02819941422974629,0.06719478622394516,0.03809727998992329,0.11719759537052643
100,1.6686833804113823,0.01788505380496584,0.027361087701556267,0.02315667594246843,0.04379459520197764,0.029260693544790464,0.06809371312995112,0.03836201434842637,0.11407944266531828
