epoch,train_loss,NDCG@5,Recall@5,NDCG@10,Recall@10,NDCG@20,Recall@20,NDCG@50,Recall@50
1,6.226602152774208,0.00020544411801577317,0.0003651890555649194,0.00027585715260136965,0.0005899207820664082,0.0004160831506436437,0.0011517500983201302,0.000713951087287896,0.00266868925220518
2,6.21455803123402,0.00026705088143398224,0.0004494634530029777,0.0003917076723540278,0.0008427439743805831,0.0005302243348310073,0.0014045732906343054,0.0009229411517291456,0.0033990673633350187
3,6.20159845377913,0.00054071105252758,0.0008146525085678971,0.0007311617202956484,0.0013764818248216191,0.0009479193422248298,0.0022473172650148885,0.001506620521691843,0.005084555312096185
4,6.188039165115871,0.0012005944256780882,0.001854036743637283,0.001464804079077266,0.00266868925220518,0.001766925679313345,0.0038766222821506827,0.002472672188616665,0.00750042137198719
5,6.173468636115071,0.0021216249280597097,0.003146244171020844,0.002632044479099565,0.004719366256531266,0.003020662074169596,0.006264396876229002,0.004089023504371729,0.011714141243890107
6,6.156764542042968,0.003768982769937067,0.005562110230911849,0.0044956843229933315,0.007809427495926737,0.005355719290729708,0.011236586325074443,0.0068160045358832445,0.01862464183381089
7,6.13914329062911,0.0057255860935114715,0.008624080004494635,0.007045011591700325,0.012725434013146806,0.008239300775306376,0.01747289173549076,0.010399757207531219,0.028456654868251025
8,6.119554043459667,0.007636155203577336,0.011489409517388617,0.00946190629329728,0.017191977077363897,0.011355095590713694,0.02474858138097646,0.014276174123844302,0.039580875330074726
9,6.098161681300072,0.009266707144658009,0.014298556098657229,0.011624047705564543,0.021602337209955615,0.013931404919530843,0.0307320635990786,0.017825286632888224,0.05050845553120962
10,6.075909078523376,0.010638063816793128,0.016321141637170626,0.013415757636159042,0.024917130175852575,0.016357259303897767,0.036659362885555366,0.02089270745540692,0.059694364851957976
11,6.052945234193171,0.011644424947627071,0.018118995449182537,0.014631357824750111,0.02738917916736895,0.017956867244975177,0.04059216809933142,0.02333864123334073,0.06784088993763694
12,6.02976310269231,0.012520402200791104,0.019270745547502667,0.01602900270330672,0.03017023428282488,0.01972587436979268,0.04491825383448508,0.02567873526202639,0.07514467104893534
13,6.006900720429003,0.013322076221672653,0.02070341030394966,0.016903956386271807,0.031855722231586045,0.021158179785806884,0.048766784650823077,0.027295336519261817,0.07994831170290466
14,5.98427825096326,0.013941773427686238,0.021770886004831732,0.017953324949573427,0.03429967975728974,0.02212892201811235,0.05090173605258722,0.028507883910295975,0.08323501320298893
15,5.962932286153117,0.014429611257533639,0.02236080678689814,0.018620972023784415,0.03533906399235912,0.023023096065146697,0.052896230125287935,0.029532606456808518,0.08584751952356874
16,5.942561565944862,0.015103427990090583,0.023484465419405586,0.0191978657180988,0.03620989943255239,0.023842042378701498,0.054665992471487165,0.030507494308199077,0.08843193437833587
17,5.923250820633532,0.015466004852359655,0.023821563009157817,0.019716686631218526,0.03708073487274566,0.024422278620317345,0.05573346817236923,0.031318134965973014,0.09062306871172537
18,5.905415598036629,0.015893779415042,0.024355300859598854,0.02021977206451322,0.03786729591550087,0.024978717339138198,0.05668857801000056,0.032053275122504665,0.09247710545536265
