metric,mean,sample_std
best_val_ndcg@10,0.031520234420895576,0.0007218656250366986
ndcg@5,0.01872100941836834,0.000747503079356834
ndcg@10,0.02380681224167347,0.0007382264151242291
ndcg@20,0.02953638546168804,0.0008647652621537804
ndcg@50,0.03843337669968605,0.001004476778517297
recall@5,0.028456654399633408,0.0011210220476192512
recall@10,0.044244058430194855,0.001087795843734873
recall@20,0.06704309284687042,0.0015626291671961357
recall@50,0.11222540587186813,0.0022916513484118836
err@5,0.0,0.0
err@10,0.0,0.0
err@20,0.0,0.0
err@50,1.1236586487939348e-07,2.5125771222088004e-07
training_wall_seconds,181913.4,458.3320848467844
test_wall_seconds,830.4,3.714835124201342
total_wall_seconds,182744.0,460.8616929188192
