epoch,train_loss,NDCG@5,Recall@5,NDCG@10,Recall@10,NDCG@20,Recall@20,NDCG@50,Recall@50
1,5.811265735651961,0.002413503200858494,0.004073262542839485,0.0034990854217093843,0.007472329906174504,0.0048939007440077665,0.013006348671273668,0.007861954403065243,0.02820383167593685
2,5.760012745052857,0.0027183977640643786,0.004269902803528288,0.0036185710871826015,0.007107140850609585,0.00517465140288227,0.013315354795213214,0.008501985310656887,0.030310691611888308
3,5.7447525441405265,0.0020341009148318857,0.0033709758975223325,0.0030097201728881617,0.006432945671105118,0.004609587370657672,0.012893982808022923,0.008003915766410626,0.030254508680262936
4,5.731169856350753,0.0030319004846354053,0.004887915051407382,0.004141398234191973,0.008399348277993145,0.005816797503492083,0.01508511714141244,0.009434985907411857,0.03351311871453452
5,5.719555728026891,0.002728432656858589,0.00483173211978201,0.0038318091234836563,0.008258890948929716,0.005445227138329268,0.01471992808584752,0.009169832633106277,0.0337659419068487
6,5.708809976153046,0.0033980871109162373,0.005225012641159616,0.004521047744618029,0.00879262879937075,0.006416253124506813,0.016377324568796,0.010224497439518225,0.03590089330861285
7,5.700594367285972,0.0031480392221290587,0.005225012641159616,0.0045070524776946045,0.009438732513062532,0.006284197087585048,0.01660205629529749,0.010081385720765071,0.036013259171863585
8,5.692608517352064,0.003088215331687118,0.005225012641159616,0.004397310889716495,0.009326366649811787,0.0061782413902396055,0.016405416034608686,0.009778295163041989,0.03472105174448003
9,5.685230251265923,0.002912264151045689,0.004887915051407382,0.004197289002044865,0.008961177594246868,0.005907630831359879,0.015759312320916905,0.009772867551262006,0.03545142985560987
10,5.679059177918633,0.003534816409461847,0.0053935614360357325,0.004816115130179092,0.00938254958143716,0.006733258525593255,0.01702342828248778,0.010184165360068664,0.03469296027866734
11,5.6734033435301585,0.003121183969880028,0.0050283723804708125,0.004324328849141059,0.008820720265183437,0.006201596356787642,0.01629305017135794,0.009917229342910876,0.03533906399235912
12,5.668459997164254,0.003293040930088132,0.005365469970223046,0.004514321339234016,0.009214000786561042,0.006396813895214152,0.016714422158548233,0.010282023569437138,0.03657508848811731
