epoch,train_loss,NDCG@5,Recall@5,NDCG@10,Recall@10,NDCG@20,Recall@20,NDCG@50,Recall@50
10,1.8453347245369525,0.011086011972911846,0.017753806393617618,0.015296654126781125,0.030900612393954717,0.019335905675604826,0.04708129670206191,0.026039712790941603,0.08093151300634867
20,1.8146891529582612,0.011993837601791383,0.01882128209449969,0.0160310167879066,0.03149053317602112,0.020827288301218914,0.05056463846283499,0.027861226695435445,0.08621270857913366
30,1.7974051369024835,0.0128029184716249,0.01997303219281982,0.01676624811043217,0.03238946008202708,0.021351795241386765,0.05056463846283499,0.028499548043014473,0.08677453789538739
40,1.7815611436460344,0.013344147927299356,0.02075959323557503,0.017651960143537405,0.03421540535985168,0.022563912438948296,0.05373897409966852,0.030346515400440015,0.0930108433058037
50,1.767475171288659,0.013070170908095646,0.02070341030394966,0.017495195628950244,0.03452441148379123,0.022720880701868267,0.05528400471936626,0.030261399734848687,0.09337603236136861
60,1.7536061583903797,0.013995267374644866,0.021742794539019047,0.018630397812293448,0.03620989943255239,0.023657197667545114,0.05626720602281027,0.03156296445197065,0.09612899601101185
70,1.7433929176304825,0.014019263263029593,0.021405696949266813,0.018696998083639896,0.03592898477442553,0.02398864803960566,0.05691330973650205,0.03193055741235316,0.0970560143828305
80,1.7316692983895017,0.01449190467449505,0.02236080678689814,0.019173968934185378,0.03694027754368223,0.024730514568770012,0.058992078206640826,0.03243449289751261,0.09792684982302377
90,1.7224857268224039,0.015308661987417647,0.023540648351030955,0.019946344087301792,0.038035844710376986,0.025424131808335672,0.05980673071520872,0.03308096718068495,0.0984605876734648
100,1.7176048979263718,0.0149130417451113,0.023035001966402607,0.019449786000274628,0.03722119220180909,0.024782483414233517,0.058542614753637846,0.03260116153954088,0.09809539861789988
