seed,best_epoch,best_validation_ndcg@10,ndcg@5,recall@5,ndcg@10,recall@10,selection_wall_seconds,pure_training_seconds,test_wall_seconds,evaluated_users,candidate_item_count,max_history_length
2026,21,0.016717544991190873,0.009465245607763377,0.014523287825158717,0.012378481175130764,0.023568739816843643,283.95219830423594,196.17555700801313,2.1584970094263554,35598,18357,200
2027,21,0.016408980260257527,0.00937716279450317,0.014748019551660206,0.012542437922553377,0.024636215517725716,275.0511545650661,188.8899712022394,2.1306462809443474,35598,18357,200
2028,28,0.016990502699652885,0.00990636990414462,0.01486038541491095,0.013134452401905208,0.024945221641665263,322.4732588157058,220.8635659441352,2.0847609117627144,35598,18357,200
