experiment_id,mode,fusion_strategy,seed,best_epoch,best_validation_ndcg@10,subset,k,ndcg,recall,commit
PFR-Semantic-v1,semantic,concat,2026,81,0.004933248720452091,all,5,0.0027314284372671263,0.004354177200966347,6e0928a840435a55636e808b9b0e68a647807e9b
PFR-Semantic-v1,semantic,concat,2026,81,0.004933248720452091,all,10,0.003635788467466293,0.0071633237822349575,6e0928a840435a55636e808b9b0e68a647807e9b
PFR-Semantic-v1,semantic,concat,2026,81,0.004933248720452091,all,20,0.005281006224710595,0.013736726782403506,6e0928a840435a55636e808b9b0e68a647807e9b
PFR-Semantic-v1,semantic,concat,2026,81,0.004933248720452091,all,50,0.008723444243976542,0.03129389291533232,6e0928a840435a55636e808b9b0e68a647807e9b
PFR-Semantic-v1,semantic,concat,2026,81,0.004933248720452091,cold_start_target,5,0.0,0.0,6e0928a840435a55636e808b9b0e68a647807e9b
PFR-Semantic-v1,semantic,concat,2026,81,0.004933248720452091,cold_start_target,10,0.0,0.0,6e0928a840435a55636e808b9b0e68a647807e9b
PFR-Semantic-v1,semantic,concat,2026,81,0.004933248720452091,cold_start_target,20,0.0,0.0,6e0928a840435a55636e808b9b0e68a647807e9b
PFR-Semantic-v1,semantic,concat,2026,81,0.004933248720452091,cold_start_target,50,0.0005711122926815148,0.0031545741324921135,6e0928a840435a55636e808b9b0e68a647807e9b
PFR-Semantic-v1,semantic,concat,2026,81,0.004933248720452091,long_tail_target,5,0.0004985185384145143,0.0008030515960650472,6e0928a840435a55636e808b9b0e68a647807e9b
PFR-Semantic-v1,semantic,concat,2026,81,0.004933248720452091,long_tail_target,10,0.0007810991758211375,0.0017064846416382253,6e0928a840435a55636e808b9b0e68a647807e9b
PFR-Semantic-v1,semantic,concat,2026,81,0.004933248720452091,long_tail_target,20,0.0012329706707345956,0.0035133507327845814,6e0928a840435a55636e808b9b0e68a647807e9b
PFR-Semantic-v1,semantic,concat,2026,81,0.004933248720452091,long_tail_target,50,0.0025205917908270614,0.010238907849829351,6e0928a840435a55636e808b9b0e68a647807e9b
PFR-Semantic-v1,semantic,concat,2026,81,0.004933248720452091,sparse_user,5,0.002839358384452002,0.004505499359512346,6e0928a840435a55636e808b9b0e68a647807e9b
PFR-Semantic-v1,semantic,concat,2026,81,0.004933248720452091,sparse_user,10,0.003826775953931988,0.007553337161535403,6e0928a840435a55636e808b9b0e68a647807e9b
PFR-Semantic-v1,semantic,concat,2026,81,0.004933248720452091,sparse_user,20,0.005512915186497905,0.014311586200803923,6e0928a840435a55636e808b9b0e68a647807e9b
PFR-Semantic-v1,semantic,concat,2026,81,0.004933248720452091,sparse_user,50,0.009026048215488452,0.032201068951808826,6e0928a840435a55636e808b9b0e68a647807e9b
